1228311,1,81807,12306
25647033,1,60279,8464
25647033,1,59049,8440
26810095,1,77679,7876
15584753,1,82635,7700
26728193,1,78887,7546
26810095,1,78373,7232
26810095,1,78365,6932
26810095,1,76621,6890
26810095,1,78367,6876
19794331,1,56711,6860
19794331,1,58021,6822
26810095,1,78369,6748
1228311,1,75007,6449
19794331,1,56953,6433
1228311,1,75013,6384
26810095,1,77681,6326
26810095,1,76619,6254
26810095,1,78371,6174
25872711,1,65389,6061
26382571,1,66559,5957
19794331,1,56455,5812
27473827,1,77565,5731
19794331,1,58029,5672
27473827,1,77549,5622
19794331,1,69481,5569
26301405,1,80005,5567
27054619,1,81063,5350
27145815,1,75327,5341
19794331,1,57801,5232
11274065,1,76873,5198
19794331,1,57257,5195
19794331,1,58025,5032
25264485,1,74411,4935
26175781,2,102955,4917
25647033,1,60383,4868
19794331,1,56961,4859
27604393,1,73233,4804
25647033,1,59641,4764
26382571,1,66557,4750
26652733,1,75251,4726
25743687,0,74923,4668
4744769,1,45873,4663
26642271,1,78691,4652
28102765,1,78691,4622
27031449,1,74047,4574
28102475,1,80039,4450
25647033,1,60385,4426
23163301,1,69513,4388
27802771,1,81437,4336
25647033,1,59651,4286
26947067,1,82721,4268
19794331,1,57809,4254
21777655,2,84251,4213
26676837,1,75013,4205
26198761,1,72893,4202
15583663,2,81023,4193
19794331,1,56957,4122
19794331,1,56703,4095
25647033,1,59231,3980
27507731,1,78887,3963
21879231,1,63929,3948
27671809,1,79561,3938
19794331,1,57489,3920
25872711,1,65379,3903
25647033,1,59635,3900
1538399,1,79025,3888
26883169,1,78887,3860
26435871,1,67379,3827
25647033,1,60071,3824
22562841,2,89481,3808
25884765,1,83143,3800
6473621,1,70551,3787
26652733,1,75903,3772
9455695,2,90219,3762
12146527,1,54665,3744
19794331,1,57253,3720
19794331,1,57261,3696
26810095,1,78375,3692
21879231,1,63935,3669
432141,2,106863,3595
25647033,1,60269,3586
23188491,1,81877,3582
26382571,1,66583,3518
27185277,1,80177,3450
25569043,1,70689,3448
26930041,1,76621,3360
19794331,1,58337,3328
27537353,1,79387,3324
26810095,1,74953,3297
26382571,1,67521,3293
27799469,1,80039,3290
9025441,2,56277,3281
26301405,1,78887,3272
26976133,1,77033,3250
27185277,1,76433,3244
25647033,1,60591,3228
27185277,1,76057,3228
26382571,1,67523,3202
4614663,1,72105,3198
12146527,1,54661,3161
27616935,1,80037,3154
22789287,1,62419,3154
27190843,1,78095,3150
4614663,1,71605,3144
25576629,1,74069,3143
23188491,1,76789,3140
26375867,2,92017,3139
27036733,0,76287,3127
15455475,1,72901,3112
27118297,1,80005,3102
25647033,1,59633,3100
27349061,1,76619,3081
9953107,1,77001,3058
26937647,1,75327,3058
22082737,2,90219,3050
21879231,1,62553,3030
5204825,1,74069,3019
27754247,1,76871,3014
18822587,1,83241,2992
7697563,1,74667,2991
19794331,1,57497,2958
21235343,1,57207,2956
9455695,2,90215,2954
