3321037,7,4042
2153811,7,3981
2390193,5,3777
172754,7,3755
1153299,7,3580
1507907,7,3549
2891189,7,3535
4496747,7,3459
1905685,5,3445
249790,7,3425
2547139,5,3354
3791619,7,3327
1808847,7,3317
776775,7,3313
7241495,7,3310
219395,5,3300
1457939,7,3273
3421831,7,3260
770226,7,3231
1536747,7,3229
1700229,7,3225
2176555,7,3208
2094545,7,3145
1450905,5,3098
5897255,5,3044
2883001,9,3010
2262383,7,2975
703747,7,2965
6753521,7,2931
784328,7,2894
7672863,7,2883
491189,7,2857
1262951,7,2855
390267,9,2846
3602121,7,2840
817752,7,2810
163317,7,2803
1331985,5,2782
1908835,9,2770
2552523,7,2746
